ef69b0b,GoldPineapple,3 minutes ago,buttons poppins
6a1abec,GoldPineapple,8 minutes ago,llearn more button black
2af6236,GoldPineapple,15 minutes ago,add static landing bg image
9342517,GoldPineapple,25 minutes ago,align nav bar buttons + logo
37dcbff,GoldPineapple,26 minutes ago,unbolded title text, increase smaller text margin
3ce80d0,GoldPineapple,9 hours ago,Update index.html
6ddc289,GoldPineapple,9 hours ago,d
